id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
402,CORRECT,2,Niedersachsen,,schools open,2020-05-25,,limted,https://www.niedersachsen.de/download/155547/Nds._GVBl._Nr._17_2020_vom_22.05.2020_S._133-142.pdf,
403,CORRECT,2,Niedersachsen,,restaurants open,2020-05-25,,,https://www.niedersachsen.de/download/155547/Nds._GVBl._Nr._17_2020_vom_22.05.2020_S._133-142.pdf,
411,CORRECT,3,Niedersachsen,SK Wolfsburg,masks,2020-04-20,,,https://www.wolfsburg.de/~/media/wolfsburg/statistik_daten_fakten/corona/allgemeinverfuegungen/allgemeinverfuegunginklmaskenpflicht190420.pdf?la=de-DE,
412,CORRECT,3,Niedersachsen,SK Braunschweig,masks,2020-04-25,,,https://szene38.de/ausgehen/maskenpflicht-in-braunschweig/,
415,NEW,2,Sachsen,,curfew,2020-03-31,2020-04-21,,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Sachsen,
417,CORRECT,2,Sachsen,,kitas open,2020-05-18,,,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_06-2020.pdf?__blob=publicationFile,
418,CORRECT,2,Sachsen,,kitas open,2020-04-20,,limited,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_06-2020.pdf?__blob=publicationFile,
419,CORRECT,2,Sachsen,,kitas,2020-03-18,,,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_06-2020.pdf?__blob=publicationFile,
420,CORRECT,2,Sachsen,,masks,2020-04-20,,,http://ftp.iza.org/dp13319.pdf,
422,NEW,3,Sachsen,Dresden,curfew,2020-03-22,2020-04-05,,https://www.mdr.de/sachsen/dresden/dresden-radebeul/allgemeinverfuegung-stadt-dresden-102-downloadFile.pdf,
427,CORRECT,2,Saarland,,kitas open,2020-04-28,,limited,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_06-2020.pdf?__blob=publicationFile,
